complex_id,stop_name,georeference,borough,num_art_pieces
611,"Times Sq-42 St","POINT (-73.986229 40.755983)",M,26
610,"Grand Central-42 St","POINT (-73.976848 40.751776)",M,11
607,"34 St-Herald Sq","POINT (-73.98795 40.749567)",M,7
628,"Fulton St","POINT (-74.007582 40.710374)",M,7
604,"161 St-Yankee Stadium","POINT (-73.925651 40.827905)",Bx,4
602,"14 St-Union Sq","POINT (-73.990568 40.735736)",M,3
318,"34 St-Penn Station","POINT (-73.991057 40.750373)",M,3
623,"Canal St","POINT (-73.999892 40.718092)",M,3
392,"125 St","POINT (-73.937594 40.804138)",M,2
38,"86 St","POINT (-74.028398 40.622687)",Bk,2
621,"Broadway Junction","POINT (-73.904512 40.679498)",Bk,2
627,"Franklin Av","POINT (-73.955827 40.680596)",Bk,2
630,"Myrtle-Wyckoff Avs","POINT (-73.912385 40.69943)",Bk,2
615,"New Utrecht Av","POINT (-73.996353 40.624842)",Bk,2
461,"Queensboro Plaza","POINT (-73.940202 40.750582)",Q,2
119,"1 Av","POINT (-73.981628 40.730953)",M,1
395,"103 St","POINT (-73.947478 40.7906)",M,1
193,"104 St","POINT (-73.837683 40.681711)",Q,1
82,"104 St","POINT (-73.84433 40.695178)",Q,1
394,"110 St","POINT (-73.94425 40.79502)",M,1
81,"111 St","POINT (-73.836345 40.697418)",Q,1
194,"111 St","POINT (-73.832163 40.684331)",Q,1
440,"116 St","POINT (-73.949625 40.802098)",M,1
393,"116 St","POINT (-73.941617 40.798629)",M,1
307,"116 St-Columbia University","POINT (-73.96411 40.807722)",M,1
306,"125 St","POINT (-73.958372 40.815581)",M,1
439,"125 St","POINT (-73.945495 40.807754)",M,1
438,"135 St","POINT (-73.94077 40.814229)",M,1
305,"137 St-City College","POINT (-73.953676 40.822008)",M,1
437,"145 St","POINT (-73.936245 40.820421)",M,1
149,"163 St-Amsterdam Av","POINT (-73.939892 40.836013)",M,1
388,"167 St","POINT (-73.9214 40.835537)",Bx,1
387,"170 St","POINT (-73.917791 40.840075)",Bx,1
428,"174 St","POINT (-73.887734 40.837288)",Bx,1
385,"176 St","POINT (-73.911794 40.84848)",Bx,1
74,"18 Av","POINT (-73.990414 40.620671)",Bk,1
245,"18 Av","POINT (-73.976971 40.629755)",Bk,1
66,"18 Av","POINT (-74.001736 40.607954)",Bk,1
301,"181 St","POINT (-73.933596 40.849505)",M,1
383,"183 St","POINT (-73.903879 40.858407)",Bx,1
300,"191 St","POINT (-73.929412 40.855225)",M,1
67,"20 Av","POINT (-73.998168 40.604556)",Bk,1
75,"20 Av","POINT (-73.985026 40.61741)",Bk,1
298,"207 St","POINT (-73.918822 40.864621)",M,1
420,"219 St","POINT (-73.862633 40.883895)",Bx,1
419,"225 St","POINT (-73.860341 40.888022)",Bx,1
405,"23 St","POINT (-73.986599 40.739864)",M,1
14,"23 St","POINT (-73.989344 40.741303)",M,1
295,"231 St","POINT (-73.904834 40.878856)",Bx,1
418,"233 St","POINT (-73.857473 40.893193)",Bx,1
69,"25 Av","POINT (-73.986829 40.597704)",Bk,1
13,"28 St","POINT (-73.988691 40.745494)",M,1
404,"28 St","POINT (-73.984264 40.74307)",M,1
434,"3 Av-149 St","POINT (-73.917757 40.816109)",Bx,1
3,"30 Av","POINT (-73.921479 40.766779)",Q,1
403,"33 St","POINT (-73.982076 40.746081)",M,1
471,"34 St-Hudson Yards","POINT (-74.00191 40.755882)",M,1
164,"34 St-Penn Station","POINT (-73.993391 40.752287)",M,1
5,"36 Av","POINT (-73.929575 40.756804)",Q,1
32,"36 St","POINT (-74.003549 40.655144)",Bk,1
6,"39 Av-Dutch Kills","POINT (-73.932755 40.752882)",Q,1
276,"5 Av/53 St","POINT (-73.975224 40.760167)",M,1
61,"50 St","POINT (-73.994791 40.63626)",Bk,1
316,"50 St","POINT (-73.983849 40.761728)",M,1
162,"50 St","POINT (-73.985984 40.762456)",M,1
34,"53 St","POINT (-74.014034 40.645069)",Bk,1
224,"57 St","POINT (-73.97745 40.763972)",M,1
9,"57 St-7 Av","POINT (-73.980658 40.764664)",M,1
613,"59 St","POINT (-73.967967 40.762526)",M,1
614,"59 St-Columbus Circle","POINT (-73.981736 40.768296)",M,1
314,"66 St-Lincoln Center","POINT (-73.982209 40.77344)",M,1
64,"71 St","POINT (-73.998864 40.619589)",Bk,1
477,"72 St","POINT (-73.958424 40.768799)",M,1
160,"72 St","POINT (-73.97641 40.775594)",M,1
313,"72 St","POINT (-73.98197 40.778453)",M,1
398,"77 St","POINT (-73.959874 40.77362)",M,1
65,"79 St","POINT (-74.00061 40.613501)",Bk,1
71,"8 Av","POINT (-74.011719 40.635064)",Bk,1
16,"8 St-NYU","POINT (-73.992629 40.730328)",M,1
190,"80 St","POINT (-73.858992 40.679371)",Q,1
159,"81 St-Museum of Natural History","POINT (-73.972143 40.781433)",M,1
79,"86 St","POINT (-73.97823 40.592721)",Bk,1
158,"86 St","POINT (-73.968916 40.785868)",M,1
311,"86 St","POINT (-73.976218 40.788644)",M,1
476,"86 St","POINT (-73.951787 40.777891)",M,1
397,"86 St","POINT (-73.955589 40.779492)",M,1
191,"88 St","POINT (-73.85147 40.679843)",Q,1
59,"9 Av","POINT (-73.994324 40.646292)",Bk,1
475,"96 St","POINT (-73.947152 40.784318)",M,1
396,"96 St","POINT (-73.95107 40.785672)",M,1
310,"96 St","POINT (-73.972323 40.793919)",M,1
91,"Alabama Av","POINT (-73.898654 40.676992)",Bk,1
423,"Allerton Av","POINT (-73.867352 40.865462)",Bx,1
407,"Astor Pl","POINT (-73.99107 40.730054)",M,1
2,"Astoria Blvd","POINT (-73.917843 40.770258)",Q,1
1,"Astoria-Ditmars Blvd","POINT (-73.912034 40.775036)",Q,1
617,"Atlantic Av-Barclays Ctr","POINT (-73.97881 40.683666)",Bk,1
48,"Avenue H","POINT (-73.961639 40.62927)",Bk,1
246,"Avenue I","POINT (-73.976127 40.625322)",Bk,1
49,"Avenue J","POINT (-73.960803 40.625039)",Bk,1
50,"Avenue M","POINT (-73.959399 40.617618)",Bk,1
248,"Avenue N","POINT (-73.974197 40.61514)",Bk,1
249,"Avenue P","POINT (-73.973022 40.608944)",Bk,1
52,"Avenue U","POINT (-73.955929 40.5993)",Bk,1
78,"Avenue U","POINT (-73.979137 40.597473)",Bk,1
251,"Avenue U","POINT (-73.973357 40.596063)",Bk,1
252,"Avenue X","POINT (-73.97425 40.58962)",Bk,1
76,"Bay Pkwy","POINT (-73.981848 40.611815)",Bk,1
68,"Bay Pkwy","POINT (-73.993728 40.601875)",Bk,1
247,"Bay Pkwy","POINT (-73.975264 40.620769)",Bk,1
36,"Bay Ridge Av","POINT (-74.023377 40.634967)",Bk,1
208,"Beach 25 St","POINT (-73.761353 40.600066)",Q,1
207,"Beach 36 St","POINT (-73.768175 40.595398)",Q,1
206,"Beach 44 St","POINT (-73.776013 40.592943)",Q,1
205,"Beach 60 St","POINT (-73.788522 40.592374)",Q,1
204,"Beach 67 St","POINT (-73.796924 40.590927)",Q,1
201,"Beach 98 St","POINT (-73.820558 40.585307)",Q,1
120,"Bedford Av","POINT (-73.956872 40.717304)",Bk,1
380,"Bedford Park Blvd-Lehman College","POINT (-73.890064 40.873412)",Bx,1
45,"Beverley Rd","POINT (-73.964492 40.644031)",Bk,1
619,"Bleecker St","POINT (-73.994659 40.725915)",M,1
55,"Brighton Beach","POINT (-73.961376 40.577621)",Bk,1
4,Broadway,"POINT (-73.925508 40.76182)",Q,1
361,"Buhre Av","POINT (-73.832569 40.84681)",Bx,1
422,"Burke Av","POINT (-73.867164 40.871356)",Bx,1
384,"Burnside Av","POINT (-73.907684 40.853453)",Bx,1
169,"Canal St","POINT (-74.005229 40.720824)",M,1
365,"Castle Hill Av","POINT (-73.851222 40.834255)",Bx,1
155,"Cathedral Pkwy (110 St)","POINT (-73.958161 40.800603)",M,1
114,"Central Av","POINT (-73.927397 40.697857)",Bk,1
441,"Central Park North (110 St)","POINT (-73.951822 40.799075)",M,1
624,"Chambers St","POINT (-74.008585 40.714111)",M,1
93,"Chauncey St","POINT (-73.910456 40.682893)",Bk,1
356,"Church Av","POINT (-73.949575 40.650843)",Bk,1
334,"Clark St","POINT (-73.993086 40.697466)",Bk,1
89,"Cleveland St","POINT (-73.884639 40.679947)",Bk,1
58,"Coney Island-Stillwell Av","POINT (-73.981233 40.577422)",Bk,1
46,"Cortelyou Rd","POINT (-73.963891 40.640927)",Bk,1
87,"Crescent St","POINT (-73.873785 40.683194)",Bk,1
345,"Crown Hts-Utica Av","POINT (-73.932942 40.668897)",Bk,1
86,"Cypress Hills","POINT (-73.87255 40.689941)",Bk,1
26,"DeKalb Av","POINT (-73.981824 40.690635)",Bk,1
244,"Ditmas Av","POINT (-73.978172 40.636119)",Bk,1
299,"Dyckman St","POINT (-73.925536 40.860531)",M,1
373,"E 149 St","POINT (-73.904098 40.812118)",Bx,1
426,"E 180 St","POINT (-73.873488 40.841894)",Bx,1
341,"Eastern Pkwy-Brooklyn Museum","POINT (-73.964375 40.671987)",Bk,1
