complex_id,station_complex,borough,complex_latitude,complex_longitude,ridership,num_art_pieces
457,"52 St (7)",Queens,40.744149,-73.912549,1039786,0
160,"72 St (C,B)",Manhattan,40.775594,-73.97641,1894652,1
295,"231 St (1)",Bronx,40.878856,-73.904834,1278723,1
409,"Spring St (6)",Manhattan,40.722301,-73.997141,2218667,0
165,"23 St (C,E)",Manhattan,40.745906,-73.998041,3466678,0
280,"Jamaica-Van Wyck (E)",Queens,40.702566,-73.816859,754974,0
176,"Lafayette Av (C)",Brooklyn,40.686113,-73.973946,986430,0
441,"Central Park North (110 St) (2,3)",Manhattan,40.799075,-73.951822,1062807,1
80,"121 St (J,Z)",Queens,40.700492,-73.828294,335726,0
253,"Neptune Av (F)",Brooklyn,40.581011,-73.974574,226854,1
368,"Morrison Av-Soundview (6)",Bronx,40.829521,-73.874516,759476,1
215,"Tremont Av (B,D)",Bronx,40.85041,-73.905227,902056,1
341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,40.671987,-73.964375,851057,1
432,"Prospect Av (2,5)",Bronx,40.819585,-73.90177,865496,1
32,"36 St (D,N,R)",Brooklyn,40.655144,-74.003549,2579354,1
448,"Mets-Willets Point (7)",Queens,40.754622,-73.845625,1558403,0
59,"9 Av (D)",Brooklyn,40.646292,-73.994324,915270,1
49,"Avenue J (Q)",Brooklyn,40.625039,-73.960803,832721,1
313,"72 St (1,2,3)",Manhattan,40.778453,-73.98197,6896830,1
193,"104 St (A)",Queens,40.681711,-73.837683,265112,1
47,"Newkirk Plaza (B,Q)",Brooklyn,40.635082,-73.962793,1593186,0
434,"3 Av-149 St (2,5)",Bronx,40.816109,-73.917757,2634713,1
453,"82 St-Jackson Hts (7)",Queens,40.747659,-73.883697,1616763,0
251,"Avenue U (F)",Brooklyn,40.596063,-73.973357,272738,1
127,"DeKalb Av (L)",Brooklyn,40.703811,-73.918425,2079315,0
241,"15 St-Prospect Park (F,G)",Brooklyn,40.660365,-73.979493,1023952,0
471,"34 St-Hudson Yards (7)",Manhattan,40.755882,-74.00191,4278800,1
98,"Flushing Av (M,J)",Brooklyn,40.70026,-73.941126,1197084,1
212,"Kingsbridge Rd (B,D)",Bronx,40.866978,-73.893509,821122,0
407,"Astor Pl (6)",Manhattan,40.730054,-73.99107,2871468,1
311,"86 St (1)",Manhattan,40.788644,-73.976218,2531021,1
78,"Avenue U (N)",Brooklyn,40.597473,-73.979137,653382,1
211,"Bedford Park Blvd (B,D)",Bronx,40.873244,-73.887138,871012,0
154,"116 St (C,B)",Manhattan,40.805085,-73.954882,1056353,0
383,"183 St (4)",Bronx,40.858407,-73.903879,782782,1
630,"Myrtle-Wyckoff Avs (L,M)",Brooklyn,40.699622000000005,-73.9119855,3769668,1
428,"174 St (2,5)",Bronx,40.837288,-73.887734,730639,1
361,"Buhre Av (6)",Bronx,40.84681,-73.832569,554539,1
20,"City Hall (R,W)",Manhattan,40.713282,-74.006978,884408,0
17,"Prince St (R,W)",Manhattan,40.724329,-73.997702,2317350,1
205,"Beach 60 St (A)",Queens,40.592374,-73.788522,248447,1
339,"Bergen St (2,3)",Brooklyn,40.680829,-73.975098,812329,0
608,"4 Av (F,G)/9 St (R)",Brooklyn,40.670559499999996,-73.9890405,2099206,0
119,"1 Av (L)",Manhattan,40.730953,-73.981628,4367618,1
67,"20 Av (D)",Brooklyn,40.604556,-73.998168,833879,1
99,"Lorimer St (M,J)",Brooklyn,40.703869,-73.947408,654339,1
103,"Bowery (J,Z)",Manhattan,40.72028,-73.993915,635636,0
147,"175 St (A)",Manhattan,40.847391,-73.939704,1654086,0
213,"Fordham Rd (B,D)",Bronx,40.861296,-73.897749,1207278,0
110,"Forest Av (M)",Queens,40.704423,-73.903077,715491,1
8,"5 Av/59 St (N,R,W)",Manhattan,40.764811,-73.973347,2660076,1
46,"Cortelyou Rd (Q)",Brooklyn,40.640927,-73.963891,945344,1
284,"Nassau Av (G)",Brooklyn,40.724635,-73.951277,1525256,0
366,"Parkchester (6)",Bronx,40.833226,-73.860816,2085333,1
181,"Utica Av (A,C)",Brooklyn,40.679364,-73.930729,2044688,1
635,"South Ferry (1)/Whitehall St (R,W)",Manhattan,40.7025775,-74.013329,4728900,1
458,"46 St-Bliss St (7)",Queens,40.743132,-73.918435,2016674,0
72,"Fort Hamilton Pkwy (N)",Brooklyn,40.631386,-74.005351,1095664,1
1,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.912034,2417717,0
395,"103 St (6)",Manhattan,40.7906,-73.947478,1724807,1
136,"New Lots Av (L)",Brooklyn,40.658733,-73.899232,510584,1
318,"34 St-Penn Station (1,2,3)",Manhattan,40.750373,-73.991057,11580343,3
235,"York St (F)",Brooklyn,40.701397,-73.986751,2544468,0
151,"145 St (A,C,B,D)",Manhattan,40.824783,-73.944216,3646992,0
396,"96 St (6)",Manhattan,40.785672,-73.95107,2767464,1
195,"Ozone Park-Lefferts Blvd (A)",Queens,40.685951,-73.825798,993491,0
376,"Brook Av (6)",Bronx,40.807566,-73.91924,757306,0
214,"182-183 Sts (B,D)",Bronx,40.856093,-73.900741,600091,0
44,"Church Av (B,Q)",Brooklyn,40.650527,-73.962982,2256469,0
352,"New Lots Av (3)",Brooklyn,40.666235,-73.884079,754978,0
69,"25 Av (D)",Brooklyn,40.597704,-73.986829,688843,1
2,"Astoria Blvd (N,W)",Queens,40.770258,-73.917843,1771326,1
464,"Vernon Blvd-Jackson Av (7)",Queens,40.742626,-73.953581,2810608,0
416,"Wakefield-241 St (2)",Bronx,40.903125,-73.85062,627104,1
303,"157 St (1)",Manhattan,40.834041,-73.94489,1572930,0
143,"Inwood-207 St (A)",Manhattan,40.868072,-73.919899,1411948,1
262,"67 Av (M,R)",Queens,40.726523,-73.852719,1231188,0
612,"Lexington Av-53 St (E,M)/51 St (6)",Manhattan,40.7573295,-73.97048749999999,8866577,0
130,"Wilson Av (L)",Brooklyn,40.688764,-73.904046,709723,0
137,"East 105 St (L)",Brooklyn,40.650573,-73.899485,422970,0
264,"Woodhaven Blvd (M,R)",Queens,40.733106,-73.869229,2989834,1
621,"Broadway Junction (A,C,J,L,Z)",Brooklyn,40.678896,-73.90435599999999,1384637,1
247,"Bay Pkwy (F)",Brooklyn,40.620769,-73.975264,189241,1
113,"Knickerbocker Av (M)",Brooklyn,40.698664,-73.919711,652581,1
266,"Elmhurst Av (M,R)",Queens,40.742454,-73.882017,2057516,0
452,"90 St-Elmhurst Av (7)",Queens,40.748408,-73.876613,3339240,0
257,"Sutphin Blvd (F)",Queens,40.70546,-73.810708,700073,0
613,"Lexington Av (N,R,W)/59 St (4,5,6)",Manhattan,40.762592999999995,-73.9676125,8618284,1
217,"170 St (B,D)",Bronx,40.839306,-73.9134,707765,0
159,"81 St-Museum of Natural History (C,B)",Manhattan,40.781433,-73.972143,2571732,1
111,"Seneca Av (M)",Queens,40.702762,-73.90774,479220,1
348,"Rockaway Av (3)",Brooklyn,40.662549,-73.908946,644420,1
623,"Canal St (J,N,Q,R,W,Z,6)",Manhattan,40.71870125,-74.00057999999999,7850499,1
10,"49 St (N,R,W)",Manhattan,40.759901,-73.984139,4549642,0
187,"Shepherd Av (C)",Brooklyn,40.67413,-73.88075,395913,0
91,"Alabama Av (J)",Brooklyn,40.676992,-73.898654,278369,1
306,"125 St (1)",Manhattan,40.815581,-73.958372,1406713,1
153,"125 St (A,C,B,D)",Manhattan,40.811109,-73.952343,4289716,0
203,"Rockaway Park-Beach 116 St (A,S)",Queens,40.580903,-73.835592,129041,1
85,"75 St-Elderts Ln (J,Z)",Queens,40.691324,-73.867139,246100,0
360,"Pelham Bay Park (6)",Bronx,40.852462,-73.828121,881070,0
460,"33 St-Rawson St (7)",Queens,40.744587,-73.930997,1195919,0
55,"Brighton Beach (B,Q)",Brooklyn,40.577621,-73.961376,1855390,1
252,"Avenue X (F)",Brooklyn,40.58962,-73.97425,355128,1
371,"Hunts Point Av (6)",Bronx,40.820948,-73.890549,1391830,0
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,40.732338,-74.000495,7597954,0
403,"33 St (6)",Manhattan,40.746081,-73.982076,4401252,1
83,"Woodhaven Blvd (J,Z)",Queens,40.693879,-73.851576,296692,1
343,"Nostrand Av (3)",Brooklyn,40.669847,-73.950466,585322,0
433,"Jackson Av (2,5)",Bronx,40.81649,-73.907807,641728,1
133,"Atlantic Av (L)",Brooklyn,40.675345,-73.903097,277478,0
336,"Hoyt St (2,3)",Brooklyn,40.690545,-73.985065,1412842,0
175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,40.688484,-73.985001,2074434,0
404,"28 St (6)",Manhattan,40.74307,-73.984264,3272934,1
292,"Fulton St (G)",Brooklyn,40.687119,-73.975375,992569,0
420,"219 St (2,5)",Bronx,40.883895,-73.862633,307065,1
45,"Beverley Rd (Q)",Brooklyn,40.644031,-73.964492,598479,1
131,"Bushwick Av-Aberdeen St (L)",Brooklyn,40.682829,-73.905249,425023,0
70,"Bay 50 St (D)",Brooklyn,40.588841,-73.983765,413348,0
22,"Rector St (R,W)",Manhattan,40.70722,-74.013342,873880,0
57,"W 8 St-NY Aquarium (F,Q)",Brooklyn,40.576127,-73.975939,471359,1
323,"Christopher St-Sheridan Sq (1)",Manhattan,40.733422,-74.002906,2083188,0
13,"28 St (R,W)",Manhattan,40.745494,-73.988691,2134394,1
68,"Bay Pkwy (D)",Brooklyn,40.601875,-73.993728,1234681,1
299,"Dyckman St (1)",Manhattan,40.860531,-73.925536,1025427,1
43,"Parkside Av (Q)",Brooklyn,40.655292,-73.961495,996072,1
58,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,40.577422,-73.981233,2625757,1
625,"Delancey St (F)/Essex St (J,M,Z)",Manhattan,40.718463,-73.9877755,5046694,0
6,"39 Av-Dutch Kills (N,W)",Queens,40.752882,-73.932755,637882,1
207,"Beach 36 St (A)",Queens,40.595398,-73.768175,120827,1
609,"Bryant Pk (B,D,F,M)/5 Av (7)",Manhattan,40.7540215,-73.98326599999999,8175083,0
324,"Houston St (1)",Manhattan,40.728251,-74.005367,2159661,1
97,"Myrtle Av (M,J,Z)",Brooklyn,40.697207,-73.935657,2036546,1
476,"86 St (Q)",Manhattan,40.777891,-73.951787,4039091,1
107,"Broad St (J,Z)",Manhattan,40.706476,-74.011056,958724,0
397,"86 St (4,5,6)",Manhattan,40.779492,-73.955589,7974573,1
62,"55 St (D)",Brooklyn,40.631435,-73.995476,301603,0
345,"Crown Hts-Utica Av (3,4)",Brooklyn,40.668897,-73.932942,3818450,1
120,"Bedford Av (L)",Brooklyn,40.717304,-73.956872,6251825,1
358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,40.639967,-73.948411,1043396,0
245,"18 Av (F)",Brooklyn,40.629755,-73.976971,520684,1
293,"Van Cortlandt Park-242 St (1)",Bronx,40.889248,-73.898583,1044593,0
35,"59 St (N,R)",Brooklyn,40.641362,-74.017881,2080305,0
294,"238 St (1)",Bronx,40.884667,-73.90087,664044,0
250,"Kings Hwy (F)",Brooklyn,40.603217,-73.972361,559628,1
240,"7 Av (F,G)",Brooklyn,40.666271,-73.980305,2012984,0
243,"Church Av (F,G)",Brooklyn,40.644041,-73.979678,1553718,0
33,"45 St (R)",Brooklyn,40.648939,-74.010006,1261159,0
629,"Lorimer St (L)/Metropolitan Av (G)",Brooklyn,40.7134275,-73.95084650000001,2916930,1
222,"Roosevelt Island (F)",Manhattan,40.759145,-73.95326,1265234,1
381,"Kingsbridge Rd (4)",Bronx,40.86776,-73.897174,1200336,1
419,"225 St (2,5)",Bronx,40.888022,-73.860341,390542,1
124,"Montrose Av (L)",Brooklyn,40.707739,-73.93985,1240710,0
232,"2 Av (F)",Manhattan,40.723402,-73.989938,2993796,0
